2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
2026-05-01 20:17:46 [INFO] Trade executed: 10
